wilayah,nama_puskesmas,alamat_puskesmas,,,,,,,,,,,,,
Jakarta Pusat,Kec. Tanah Abang,Jl. Danau Toba Blok A No.1 RT 020/04,,,,,,,,,,,,,
Jakarta Pusat,Kel. Kampung Bali,Jl. Kamp. Bali Gg. 23 RT 007/08,,,,,,,,,,,,,
Jakarta Pusat,Kel. Petamburan,Jl. Petamburan IV RT012/04,,,,,,,,,,,,,
Jakarta Pusat,Kel. Karet Tengsin,Jl. Karet Pasar Baru Barat VII/19 RT 009/03,,,,,,,,,,,,,
Jakarta Pusat,Kel. Gelora,"Jl. Gelora No.2, RT.1/RW.3",,,,,,,,,,,,,
Jakarta Pusat,Kel. Kebon Melati,Jl. H Sabeni Raya Rt 01/012,,,,,,,,,,,,,
Jakarta Pusat,Kec. Menteng,Jl. Pegangsaan Barat No. 14 RT 16/05,,,,,,,,,,,,,
Jakarta Pusat,Kel. Kebon Sirih,Jl H Agus Salim No 19 A,,,,,,,,,,,,,
Jakarta Pusat,Kel. Pegangsaan,Jl. Tambak No. 28,,,,,,,,,,,,,
Jakarta Pusat,Kec. Senen,Jl Kramat VII / 31,,,,,,,,,,,,,
Jakarta Pusat,Kel. Kramat,Jl. Kramat Sentiong Ujung I / 33,,,,,,,,,,,,,
Jakarta Pusat,Kel. Kenari,Jl. Jamrut No 22 RT 07/02,,,,,,,,,,,,,
Jakarta Pusat,Kel. Paseban,Jl. Kramar Sawah VII,,,,,,,,,,,,,
Jakarta Pusat,Kel. Kwitang,Jl. Kwitang Raya I C,,,,,,,,,,,,,
Jakarta Pusat,Kel. Bungur,Jl. Bungur Besar IX No.2,,,,,,,,,,,,,
Jakarta Pusat,Kec. Johar Baru,Jl. Mardani Raya No. 36 RT 02/05,,,,,,,,,,,,,
Jakarta Pusat,Kel. Johar Baru II,Jl. Percetakan Negara II No 1 RT 011/06,,,,,,,,,,,,,
Jakarta Pusat,Kel.Johar Baru III,Jl. Kramat Jaya Baru Blok E No. 6 RT 13 RW 01,,,,,,,,,,,,,
Jakarta Pusat,Kel. Tanah Tinggi,Jl. Tanah Tinggi VII RT 006/06,,,,,,,,,,,,,
Jakarta Pusat,Kel. Galur,"Jl. Rw. Tengah IX, RT.10/RW.6",,,,,,,,,,,,,
Jakarta Pusat,Kel. Kampung Rawa,Jalan Kampung Rawa Selatan No. 5,,,,,,,,,,,,,
Jakarta Pusat,Kec. Cempaka Putih,Jl. Pramuka Sari I Rt 014 Rw 08,,,,,,,,,,,,,
Jakarta Pusat,Kel. Rawasari,"Jl. Pramuka Sari I No.1, RT.10/RW.8",,,,,,,,,,,,,
Jakarta Pusat,Kel. Cempaka Putih Timur,Jl. Cempaka Putih Tengah XVII Rt 08/05,,,,,,,,,,,,,
Jakarta Pusat,Kel. Cempaka Putih Barat II,Jl. Cempaka Putih Barat 11 Blok  D  No. 10 A,,,,,,,,,,,,,
Jakarta Pusat,Kec. Kemayoran,Jl. Harapan Mulya RT 004/06,,,,,,,,,,,,,
Jakarta Pusat,Kel. Serdang,Jl. Eka V RT 09/03,,,,,,,,,,,,,
Jakarta Pusat,Kel. Kebon Kosong I,Jl. pelita III RT 008/08,,,,,,,,,,,,,
Jakarta Pusat,Kel. Kebon Kosong II,Jl. Kemayoran Gempol No. 28 RT 006/06,,,,,,,,,,,,,
Jakarta Pusat,Kel. Utan Panjang,Jl. Bendungan Jago RT 009/01,,,,,,,,,,,,,
Jakarta Pusat,Kel. Cempaka Baru,Jl. Cempaka Baru Tengah I RT 005/06,,,,,,,,,,,,,
Jakarta Pusat,Kel. Sumur Batu,Jl. Sumur Batu Raya RT 007/01,,,,,,,,,,,,,
Jakarta Pusat,Kec. Sawah Besar,Jl. Mangga Dua Dalam K No.13 RT 001/010,,,,,,,,,,,,,
Jakarta Pusat,Kel. Pasar Baru,Jl. Krekot Bunder Raya No 10,,,,,,,,,,,,,
Jakarta Pusat,Kel. Kartini,Jl. Kartini VIII Kelurahan Kartini Kec Sawah Besar,,,,,,,,,,,,,
Jakarta Pusat,Kel. Gunung Sahari Utara,Jl. Gunung Sahari VII A no 8 Kel Gunung Sahari Utara Kec Sawah Besar,,,,,,,,,,,,,
Jakarta Pusat,Kec. Gambir,Jl. Tanah Abang I / 10,,,,,,,,,,,,,
Jakarta Pusat,Kel. Petojo Selatan,Jl. Taman Tanah Abang III RT 002/04,,,,,,,,,,,,,
Jakarta Pusat,Kel. Duri Pulo,Jl. KH Zainul Arifin no 71 kel Duri Pulo ,,,,,,,,,,,,,
Jakarta Pusat,Kel. Petojo Utara,Jl. Petojo Selatan II No 2 Kel Petojo Utara,,,,,,,,,,,,,
Jakarta Pusat,Kel. Kebon Kelapa,Jl. Batu Tulis No 13 Kel Kebon Kelapa ,,,,,,,,,,,,,
Jakarta Pusat,Kel. Cideng,Jl. Kyai Caringin Blok A no 6 Kel Cideng ,,,,,,,,,,,,,
Jakarta Utara,KEC. Penjaringan,"Jl. Teluk Gong Raya No. 2, Rt.08/010, Penjagalan, Penjaringan",,,,,,,,,,,,,
Jakarta Utara,KEL. Pejagalan,Jl.Kura No 2 kel Pejagalan,,,,,,,,,,,,,
